diet,inclusion,water_temp,treatment,id,measurement,result
SP10,10,25,SP10_25,IMG_7194_1,H,28.356
SP10,10,25,SP10_25,IMG_7194_1,S,99.448
SP10,10,25,SP10_25,IMG_7194_1,B,125.835
SP10,10,25,SP10_25,IMG_7194_1,L,46.659
SP10,10,25,SP10_25,IMG_7194_1,a,2.43
SP10,10,25,SP10_25,IMG_7194_1,b,18.09
SP10,10,25,SP10_25,IMG_7194_2,H,24.705
SP10,10,25,SP10_25,IMG_7194_2,S,106.632
SP10,10,25,SP10_25,IMG_7194_2,B,137.926
SP10,10,25,SP10_25,IMG_7194_2,L,49.033
SP10,10,25,SP10_25,IMG_7194_2,a,6.029
SP10,10,25,SP10_25,IMG_7194_2,b,19.588
SP10,10,25,SP10_25,IMG_7199_1,H,26.467
SP10,10,25,SP10_25,IMG_7199_1,S,126.041
SP10,10,25,SP10_25,IMG_7199_1,B,106.733
SP10,10,25,SP10_25,IMG_7199_1,L,38.173
SP10,10,25,SP10_25,IMG_7199_1,a,3.71
SP10,10,25,SP10_25,IMG_7199_1,b,20.314
SP10,10,25,SP10_25,IMG_7199_2,H,24.137
SP10,10,25,SP10_25,IMG_7199_2,S,122.753
SP10,10,25,SP10_25,IMG_7199_2,B,114.269
SP10,10,25,SP10_25,IMG_7199_2,L,40.322
SP10,10,25,SP10_25,IMG_7199_2,a,5.439
SP10,10,25,SP10_25,IMG_7199_2,b,19.147
SP10,10,25,SP10_25,IMG_7200_1,H,31.611
SP10,10,25,SP10_25,IMG_7200_1,S,114.595
SP10,10,25,SP10_25,IMG_7200_1,B,124.014
SP10,10,25,SP10_25,IMG_7200_1,L,46.744
SP10,10,25,SP10_25,IMG_7200_1,a,-0.356
SP10,10,25,SP10_25,IMG_7200_1,b,23.583
SP10,10,25,SP10_25,IMG_7200_2,H,28.437
SP10,10,25,SP10_25,IMG_7200_2,S,95.396
SP10,10,25,SP10_25,IMG_7200_2,B,139.59
SP10,10,25,SP10_25,IMG_7200_2,L,51.954
SP10,10,25,SP10_25,IMG_7200_2,a,1.973
SP10,10,25,SP10_25,IMG_7200_2,b,19.661
SP10,10,20,SP10_20,IMG_7253_1,H,26.822
SP10,10,20,SP10_20,IMG_7253_1,S,118.009
SP10,10,20,SP10_20,IMG_7253_1,B,108.793
SP10,10,20,SP10_20,IMG_7253_1,L,39.357
SP10,10,20,SP10_20,IMG_7253_1,a,3.411
SP10,10,20,SP10_20,IMG_7253_1,b,18.77
SP10,10,20,SP10_20,IMG_7253_2,H,24.316
SP10,10,20,SP10_20,IMG_7253_2,S,134.416
SP10,10,20,SP10_20,IMG_7253_2,B,106.739
SP10,10,20,SP10_20,IMG_7253_2,L,37.005
SP10,10,20,SP10_20,IMG_7253_2,a,5.707
SP10,10,20,SP10_20,IMG_7253_2,b,20.854
SP10,10,20,SP10_20,IMG_7255_1,H,30.981
