date,average_temperature,min_temperature,max_temperature,max_light,average_light,average_pH,average_DO,DO_saturation,min_TGP,max_TGP,average_TGP
28/07/2025,16.42,15.48,17.11,,88.98,8.38,7.94,91.69,99.2,103.5,100.17
29/07/2025,16.65,13.81,17.54,251.76,218.56,8.37,7.97,92.08,97.7,100,98.77
30/07/2025,16.44,15.61,17.03,283.84,222.72,8.37,8.04,92.84,97.4,99.3,98.47
31/07/2025,16.51,15.44,17.03,299.52,295.44,8.36,8.03,92.67,97.7,99.8,98.8
1/08/2025,16.79,15.83,17.37,285.68,284.04,8.36,8.03,92.67,97.3,99.6,98.41
2/08/2025,16.85,15.91,17.41,223.2,200.96,8.36,8.03,92.67,98.2,100.3,99.71
3/08/2025,16.64,15.44,17.46,259.28,237.56,8.4,7.98,92.16,99,103.6,100.21
4/08/2025,16.34,15.31,16.99,146.8,127.5,8.38,8.04,92.89,99,102.4,100.1
5/08/2025,15.79,12.91,17.07,212.56,205.52,8.36,8.03,91.43,98.3,100.7,99.13
6/08/2025,16.33,15.31,16.99,240.32,239.08,8.36,8.05,92.9,99.2,101.5,100.26
7/08/2025,16.65,15.31,17.41,219.12,201.04,8.37,8.09,93.42,98.9,100.5,99.7
8/08/2025,16.94,15.78,17.46,253.6,210.44,8.37,8.09,93.42,99,101.7,100.25
9/08/2025,16.49,15.61,17.07,272.4,260.16,8.37,8.09,93.42,99.4,102.6,100.22
10/08/2025,16.31,15.44,16.94,243.6,238.68,8.36,7.97,92.01,99.7,106.8,100.93
11/08/2025,16.67,15.1,17.54,168.96,161.98,8.34,8.07,93.16,97.3,109.8,99.24
12/08/2025,17.09,15.7,17.59,293.04,268,8.35,8.07,94.37,98.1,100.4,99.22
13/08/2025,16.9,15.57,17.41,265.04,183.76,7.82,7.95,91.75,99,102.7,100.3
14/08/2025,17.16,15.57,18.19,255.2,252.76,8.36,7.86,91.94,99.7,105.2,100.76
15/08/2025,17.5,16.47,18.06,270.72,219.48,8.36,7.86,91.94,97.8,100.2,99.22
16/08/2025,17.13,16.08,17.84,207.44,184.98,8.36,7.86,91.94,97.9,99.6,99.04
17/08/2025,16.69,15.53,17.41,226.4,223.96,8.37,8.06,93.05,97.6,99.8,98.51
18/08/2025,16.64,15.78,17.2,238.72,228.08,8.36,7.99,92.3,97.9,99.9,99.02
19/08/2025,17.13,15.87,17.84,238.72,238.28,8.37,7.84,91.68,98.7,99.6,99.17
20/08/2025,17.02,14.03,17.89,267.52,227.28,8.38,7.86,91.93,98.5,100.5,99.66
21/08/2025,16.03,12.57,17.37,224,216.56,8.39,8.09,93.42,98.7,99.8,99.27
22/08/2025,15.17,14.41,16.13,153.44,152.58,8.39,8.09,92.14,98.2,99.5,98.85
23/08/2025,14.08,13.51,15.66,187.04,167.74,8.39,8.09,90.9,98.6,101.4,99.89
24/08/2025,13.89,13.47,14.37,127.12,124.26,8.4,8.19,90.78,99.3,100.3,99.98
25/08/2025,13.95,13.77,14.11,81.96,80.34,8.38,8.11,89.88,100,100.9,100.44
26/08/2025,14.07,13.94,14.28,224.8,183.36,8.38,8.15,91.61,99.4,101.5,100.7
27/08/2025,13.96,13.85,14.11,215.84,185.42,8.38,8.21,91.04,98.6,100.3,99.64
28/08/2025,13.87,13.73,13.98,226.4,223.16,8.39,8.24,91.4,99,99.9,99.56
29/08/2025,13.85,13.73,13.98,221.52,206.72,8.39,8.24,91.4,96.9,99.2,98.12
30/08/2025,13.63,13.25,13.85,209.12,207.96,8.39,8.24,91.4,96.8,97.8,97.36
31/08/2025,13.44,13.12,13.85,217.44,216.24,8.38,8.48,93.97,96.8,98.2,97.51
1/09/2025,13.65,13.38,13.81,211.76,208.08,8.4,8.38,92.87,97.2,103.2,99.65
2/09/2025,13.92,13.6,14.41,205.84,176.74,8.39,8.25,91.43,98.7,102.9,100.62
3/09/2025,14.44,13.6,15.91,246.88,240.76,8.4,8.23,92.52,99,101.9,100
4/09/2025,14.57,13.73,16.13,256.08,253.6,8.4,8.24,92.55,99.3,103.1,100.51
