helper,date_time,pH_high,pH_low,ave_DO_high_outgoing,ave_DO_low_outgoing,ave_DO_high2_incoming,ave_DO_low_incoming,ave_temp_high,ave_temp_low
9,26/11/2025,8.13,8.09,7.35,7.05,8.97,8.93,19.33,20.50
10,27/11/2025,8.13,8.12,7.35,7.07,9.13,9.12,18.68,20.70
11,28/11/2025,8.13,8.11,7.20,6.96,9.26,8.55,18.50,20.60
12,29/11/2025,,,,,9.35,8.62,18.40,20.50
13,30/11/2025,,,,,9.43,8.90,18.40,20.50
14,1/12/2025,8.15,8.11,7.59,7.26,9.22,9.01,19.03,20.43
15,2/12/2025,8.11,8.10,7.43,7.27,8.84,8.75,20.43,20.50
16,3/12/2025,8.10,8.11,7.27,7.37,8.56,8.86,20.03,19.93
17,4/12/2025,8.11,8.11,7.25,7.53,8.42,9.26,20.23,20.00
18,5/12/2025,8.09,8.10,6.94,7.42,8.28,9.38,22.15,19.53
19,6/12/2025,,,,,8.14,9.27,23.73,20.03
20,7/12/2025,,,,,8.18,9.42,23.95,19.40
21,8/12/2025,8.11,8.12,7.07,7.37,7.98,9.16,24.20,19.50
22,9/12/2025,8.09,8.12,6.94,7.20,7.93,9.10,24.43,20.03
23,10/12/2025,8.07,8.10,,,7.92,9.23,24.70,20.00
24,11/12/2025,8.09,8.10,,,7.88,8.99,24.88,20.00
25,12/12/2025,8.09,8.12,,,7.73,9.10,25.20,20.40
26,13/12/2025,,,,,7.76,9.14,25.30,20.50
27,14/12/2025,,,,,7.68,8.76,25.50,20.50
28,15/12/2025,8.12,8.13,,,7.69,8.70,25.85,20.88
29,16/12/2025,8.13,8.15,6.82,6.86,7.66,8.64,26.05,18.25
30,17/12/2025,8.07,8.12,6.86,6.78,7.66,9.07,25.90,18.20
31,18/12/2025,8.13,8.14,6.74,7.32,7.68,8.97,26.73,19.07
32,19/12/2025,8.12,8.16,6.62,7.16,7.58,9.20,25.87,18.27
33,20/12/2025,,,,7.10,7.63,8.98,26.70,18.93
34,21/12/2025,,,,,7.64,9.01,25.58,17.93
35,22/12/2025,8.13,8.16,6.78,,7.71,9.18,26.03,17.90
36,23/12/2025,,,,,8.25,9.12,21.08,18.10
